source,trade_id,timestamp,event_type,total_buys,total_sells,total_trades,win_rate_pct,realized_pnl_usd,realized_pnl_sol,total_cost_usd,sold_income_usd,total_fees_usd,native_balance_sol,avg_holding_seconds,loss_gt_50,loss_0_50,profit_0_100,profit_100_400,profit_gt_400,token_address,token_amount,current_sol_balance,token_symbol,quote_amount_sol,buy_cost_usd,sold_usd,pnl_usd,pnl_pct,pnl_sol,is_win,score_at_buy,rug_ratio,source_strat,timestamp_open,timestamp_close,entry_price,smart_degen,bundler_rate,holder_count,price_usd,launchpad,tx_hash,gas_usd,dex_usd,priority_fee_sol,tip_fee_sol
bot_positions,139,2026-07-03 21:46:43 UTC,close,,,,,,,,,,,,,,,,,DbGk4FpMmgtDrGryP4ooSqjkt7WVjkWmzEF6s6Papump,,,BFPOS,0.05,,,,,-0.005000000000000001,False,100,0.252,trending,2026-07-03 21:46:26 UTC,2026-07-03 21:46:43 UTC,82440,7,0.2817,334,,,,,,,
bot_trade_log,39,2026-07-03 21:46:44 UTC,close,,,,,,,,,,,,,,,,,BzmGG5p8MemjAgnaKYkvQq5S2RZLG2QUgbxYaNoZpump,,,OPS,0.05,,,,,-0.005,False,100,0,trending,2026-07-03 21:46:26 UTC,2026-07-03 21:46:44 UTC,,,,,,,,,,,
bot_trade_log,40,2026-07-03 21:46:44 UTC,close,,,,,,,,,,,,,,,,,Cn1DdMtqs7boDQHpTj86Jd9G3vSzmTaY9vye3FBypump,,,Leo,0.05,,,,,-0.005,False,100,0.015384615384615385,trending,2026-07-03 21:46:26 UTC,2026-07-03 21:46:44 UTC,,,,,,,,,,,
bot_trade_log,41,2026-07-03 21:46:44 UTC,close,,,,,,,,,,,,,,,,,J8cFrE1P32M2bd4N85bLKS29Nhhtm9pdr3bDDBSGpump,,,Beatrice,0.05,,,,,-0.005,False,100,0,trending,2026-07-03 21:46:26 UTC,2026-07-03 21:46:44 UTC,,,,,,,,,,,
bot_positions,140,2026-07-03 21:46:44 UTC,close,,,,,,,,,,,,,,,,,5oewdsrJXdJuCnvGdP9YcrgPFkp2GJgCeK7FTAHYpump,,,BLACKHOUSE,0.05,,,,,-0.005000000000000001,False,100,0.23,trending,2026-07-03 21:46:26 UTC,2026-07-03 21:46:44 UTC,33986.9,2,0.3186,407,,,,,,,
bot_positions,141,2026-07-03 21:46:44 UTC,close,,,,,,,,,,,,,,,,,BzmGG5p8MemjAgnaKYkvQq5S2RZLG2QUgbxYaNoZpump,,,OPS,0.05,,,,,-0.005000000000000001,False,100,0,trending,2026-07-03 21:46:26 UTC,2026-07-03 21:46:44 UTC,2750.3,0,0.0889,10,,,,,,,
bot_positions,142,2026-07-03 21:46:44 UTC,close,,,,,,,,,,,,,,,,,Cn1DdMtqs7boDQHpTj86Jd9G3vSzmTaY9vye3FBypump,,,Leo,0.05,,,,,-0.005000000000000001,False,100,0.015384615384615385,trending,2026-07-03 21:46:26 UTC,2026-07-03 21:46:44 UTC,7315.48,0,0.4352,36,,,,,,,
bot_positions,143,2026-07-03 21:46:45 UTC,close,,,,,,,,,,,,,,,,,J8cFrE1P32M2bd4N85bLKS29Nhhtm9pdr3bDDBSGpump,,,Beatrice,0.05,,,,,-0.005000000000000001,False,100,0,trending,2026-07-03 21:46:26 UTC,2026-07-03 21:46:45 UTC,3895.47,0,0.1178,22,,,,,,,
bot_trade_log,42,2026-07-03 21:47:28 UTC,close,,,,,,,,,,,,,,,,,iWgJCqNEto7KtkK2n2zuvixe1k5k4r26Zfg3Mkopump,,,Bullify,0.05,,,,,-0.005,False,100,0.3466666666666667,trending,2026-07-03 21:46:56 UTC,2026-07-03 21:47:28 UTC,,,,,,,,,,,
bot_trade_log,43,2026-07-03 21:47:29 UTC,close,,,,,,,,,,,,,,,,,J17AUEy2Ya9jc65eVTqpmhoGx9RvZfTVMZkmM3uBpump,,,Assured,0.05,,,,,-0.005,False,100,0,trending,2026-07-03 21:46:56 UTC,2026-07-03 21:47:29 UTC,,,,,,,,,,,
